经度索引,纬度索引,count
82,72,6180
83,42,2272562
85,53,3161
85,57,102421
86,52,23787
91,29,31903
91,32,24796
91,65,9160
98,45,6881
101,25,2964
108,55,1114
114,46,3575
115,44,1773
120,15,2576
122,44,7288
33,37,818
36,33,602
53,58,932
63,26,1213
68,75,563
26,32,2238
96,73,5855
100,79,511
95,56,66
38,41,1629
41,42,301
56,34,475
28,64,985
96,10,31
100,44,342
31,77,265
76,60,3363
97,46,1163
32,11,196
77,9,601
114,32,18
46,27,356
112,27,11
18,60,1881
55,54,803
30,66,297
27,1,51
8,37,203
73,16,148
128,45,99
64,27,149
103,23,2882
103,26,72
118,3,218
4,29,9
66,65,45
108,49,70
126,3,140
126,4,333
46,77,86
33,22,30
102,51,11
75,61,36
113,65,173
99,43,114
51,28,5
8,10,25
45,24,41
117,70,4
12,19,120
59,78,397
63,8,17
21,24,15
47,37,38
36,50,267
115,14,5
127,52,7
62,18,44
51,74,2
37,19,24
105,32,3
58,71,3
45,45,921
108,74,1
120,31,28
54,44,28098
66,75,7494
70,22,16489
75,43,10517256
75,56,18748
79,43,6996904
82,34,1657437
86,41,236868
90,42,9001
91,55,12616
91,66,12755
123,44,2223
124,44,3400
28,41,11
49,32,1359
79,16,1302
80,15,6034
15,15,298
63,49,393
84,77,221
52,65,523
97,15,19
33,12,144
104,58,288
71,23,223
57,64,416
111,60,152
81,69,42
91,51,3031
121,45,328
111,24,22
47,21,130
42,10,11
106,39,123
93,73,78
7,36,287
118,4,48
105,47,111
81,81,165
116,41,39
98,36,145
41,82,82
94,71,80
84,10,28
102,57,39
46,5,12
56,10,79
100,56,153
31,12,6
0,10,207
103,75,27
57,72,10
41,28,16
9,79,4
49,8,78
2,17,4
22,60,446
113,67,5
19,50,2
39,56,558
54,3,5852
64,34,45572
67,49,324585
71,53,83975
73,41,3696421
82,3,1777
82,55,14369
82,68,2874
88,44,11095
90,30,21511
90,50,20066
97,26,6943
108,22,8132
28,44,107
33,36,6008
69,76,1069
93,38,1355
94,81,581
80,14,550
72,77,207
95,37,170
53,59,192
80,17,64
113,54,1
104,18,680
49,38,309
86,50,502
104,0,9
20,35,37
5,29,19
19,30,16
115,43,62
39,64,8
7,5,146
59,73,3
60,73,140
99,25,5
117,63,813
102,75,6
66,13,1
95,24,68
36,6,3
102,20,143
115,36,73
98,38,1
100,38,26
42,78,14
30,25,81
42,28,63
101,43,39
65,13,5
45,82,39
32,19,47
33,1,283
53,15,6888
62,47,1882
66,77,15841
70,40,3685263
74,24,23548
74,43,7442546
76,59,10259
77,26,504176
78,24,6666
81,21,15561
83,45,27018
83,70,5769
86,36,210146
87,41,124711
98,26,7292
40,26,158
115,56,2369
119,48,141
94,74,717
62,42,30962
84,4,1873
99,78,416
122,10,3109
67,25,3297
81,77,286
104,6,71
52,70,751
48,38,868
51,59,476
118,23,5860
24,51,181
43,26,145
52,75,944
127,39,86
33,20,109
49,37,108
53,81,48
49,77,10
76,5,219
38,4,6
48,14,6
118,0,580
50,73,43
65,8,23
38,73,14
47,71,17
122,49,115
4,0,4
20,42,7
97,22,2
120,23,24
117,80,2
113,24,6
76,8,19
62,82,23
106,31,15
51,45,15284
51,50,1743
65,56,3884
65,61,2632
68,28,30198
70,29,83607
71,41,3908846
72,64,5712
73,47,2687036
79,34,2219534
79,37,12692081
79,42,7610729
82,70,408
83,41,906152
95,38,1388
107,55,2402
34,67,1777
36,28,271
58,1,470
70,20,640
73,2,2635
97,80,489
